"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ENSG00000280239",25.7525669481163,4.08757334898095,0.766498801622587,0.65122848305861,NA,NA
"ENSG00000134569",994.966649375727,4.03912223533213,1.0186694758851,0.933246603463587,0.990071772566487,"LRP4"
"ENSG00000175643",320.74110593424,4.03736235376622,0.620916548419464,0.650279790324247,0.947909507353266,"RMI2"
"ENSG00000286116",9.99348821155316,4.03326195464766,1.78934154074304,0.669147727289372,NA,NA
"ENSG00000145423",1065.01233851701,4.01945745127487,0.874766860113102,0.991523310310523,0.9990864243294,"SFRP2"
"ENSG00000106003",602.517251950963,4.01170117436221,0.938102590664153,0.598297041672583,0.938642390731582,"LFNG"
"ENSG00000185149",46.6267618444162,3.98970135270612,0.784767933484541,0.183119695569688,NA,"NPY2R"
"ENSG00000180447",1264.19641549994,3.98844365059839,0.749154821494591,0.412475631519239,0.891671102663331,"GAS1"
"ENSG00000258584",14.3466144117316,3.9883647197125,1.33923935049478,0.219945232937941,NA,"FAM181A-AS1"
"ENSG00000231977",19.3405120715283,3.97972617454751,1.06059957818174,0.919043354205888,NA,NA
"ENSG00000114698",14.810566150703,3.97363332204841,1.49211792009175,0.168962233438028,NA,"PLSCR4"
"ENSG00000196767",661.64994166681,3.97085356361159,0.635124524832257,0.996912002740446,0.999296033683515,"POU3F4"
"ENSG00000164362",30.9138703399742,3.96734939990246,0.869352569623239,0.148524217948258,NA,"TERT"
"ENSG00000005059",300.445839484244,3.95770552523669,0.657917382694711,0.0315422389746343,0.393856942803024,"MCUB"
"ENSG00000178752",22.0679675477543,3.9358428541029,0.956922703437078,0.0218812415877954,NA,"ERFE"
"ENSG00000169218",206.80902439667,3.89324287180336,0.638705338269117,0.734671318417242,0.967707132613795,"RSPO1"
"ENSG00000068078",1925.10182598851,3.87309912277996,1.64733027455214,NA,NA,"FGFR3"
"ENSG00000148204",1992.37015624632,3.83997517722614,1.18902015186952,0.957355110533752,0.994194049268272,"CRB2"
"ENSG00000134595",1296.6675420122,3.83436900140725,1.02032518975735,0.846239758446248,0.982634460353779,"SOX3"
"ENSG00000135476",605.933743946112,3.81012604859354,0.555467535688254,0.0111456605385964,0.241661540419634,"ESPL1"
"ENSG00000024526",743.097574964295,3.79057112734656,0.80482541330448,0.951775233931205,0.993468123410944,"DEPDC1"
"ENSG00000260664",25.4064735254613,3.78384560953622,0.747091298844074,0.978572178466671,NA,NA
"ENSG00000245526",5232.36740715986,3.78086634497327,1.05555289398252,0.786022166801086,0.975155958357997,"MIR9-2HG"
"ENSG00000276368",846.294703253565,3.77322681922806,0.78814353091823,0.79064278162052,0.975999229638947,"H2AC14"
"ENSG00000171848",1332.47517708042,3.77220591817684,0.792527273752553,0.781326885230267,0.974661086868535,"RRM2"
"ENSG00000162944",328.982051569479,3.76748338890876,0.989413116621957,0.724040154478054,0.965677498481878,"RFTN2"
"ENSG00000139445",182.35615786979,3.76101289222834,0.85286777850322,0.755610191615872,0.97258522069129,"FOXN4"
"ENSG00000267169",34.7237170790033,3.75424554159501,0.651326892400051,0.177504409315987,NA,"ADGRL1-AS1"
"ENSG00000007968",429.742007603381,3.74980900508623,1.03264031837019,0.989054060602778,0.9990864243294,"E2F2"
"ENSG00000198774",30.8967632197262,3.72904197475479,0.861777045675198,0.664283756003159,NA,"RASSF9"
"ENSG00000116194",16.104079432583,3.72874854080756,1.05558633308861,0.521270675346809,NA,"ANGPTL1"
"ENSG00000187140",10.4644074306471,3.71818806328139,1.25537742527862,0.765485713866969,NA,"FOXD3"
"ENSG00000179750",8.2514993633486,3.71547863212349,2.03201641330573,0.113330964517261,NA,"APOBEC3B"
"ENSG00000283638",29.8419388595413,3.70943591261999,0.762481353888826,0.263956354614614,NA,"MIR106AHG"
