"","gene_id","log2_RE_FC","Z_score"
"41656","ENSG00000254350",-Inf,NA
"41657","ENSG00000254351",NA,NA
"41658","ENSG00000254352",NA,NA
"41659","ENSG00000254355",NA,NA
"41660","ENSG00000254357",NA,NA
"41661","ENSG00000254358",NA,NA
"41662","ENSG00000254361",NA,NA
"41663","ENSG00000254362",Inf,0.130023121068144
"41664","ENSG00000254363",Inf,0.56013616539441
"41665","ENSG00000254364",NA,NA
"41666","ENSG00000254365",NA,NA
"41667","ENSG00000254366",NA,NA
"41668","ENSG00000254367",NA,NA
"41669","ENSG00000254369",Inf,NA
"41670","ENSG00000254370",-2.20032749928154,-2.94560254364642
"41671","ENSG00000254372",NA,NA
"41672","ENSG00000254373",NA,NA
