,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
ABCD1P2,NA,NA,NA,NA,NA,NA
ABCD1P3,NA,NA,NA,NA,NA,NA
ABCD1P4,NA,NA,NA,NA,NA,NA
ABCD1P5,NA,NA,NA,NA,NA,NA
ABCD2,0.662072950152162,0.695139442919687,0.844603244623476,0.819159081426086,0.903084714574987,0.617848409035111
ABCD3,1.05285282793213,0.984110983622168,0.808823395083626,0.798648375702325,0.907150327018697,0.855936000294489
ABCD4,0.445454022373297,0.459473007000987,NA,0.359865670294324,0.408462712376159,NA
ABCE1,0.79477503056081,0.732660215572225,0.734608705152973,0.703943462334486,0.811945124482937,0.658883937359944
ABCF1,0.822953263063293,0.957818239341065,0.970534839418636,0.831123842401738,0.714660834423557,0.873989018290481
ABCF2,1.07821313333845,1.13109794817204,0.962071024558155,0.976377661153075,0.874054354430208,1.0598055565813
ABCF2-H2BK1,1.04311474482097,1.35523741482804,1.19462578584331,1.29396017447125,1.5584262088063,0.878177064300063
ABCF2P1,0.0509894258327473,0.0509894258327473,0.0509894258327473,0.0509894258327473,0.0509894258327473,0.0509894258327473
ABCF2P2,NA,NA,NA,NA,NA,NA
ABCF3,0.530453572252894,0.461123354526824,0.475066716619597,0.443321281205494,0.425323993711542,0.504591505974015
ABCG1,0.667563355064157,0.574966457230668,0.446541887119968,0.532426358660428,0.780677541573978,0.445531862117036
ABCG2,NA,NA,NA,NA,NA,NA
ABCG4,0.668576728402234,0.769230160271983,0.654729214861839,0.709937326796406,0.79406318705344,0.804491147189197
ABCG5,NA,NA,Inf,NA,0.9678167355258,0.781451366923744
ABCG8,1.63201028761121,1.34506491905781,1.46880736849306,1.23450591193541,1.84853268547034,1.95733736352892
ABHD1,NA,0.76364782983406,0.552256167609386,0.519236014138011,0.710671790300441,NA
ABHD10,1.298389780607,1.22080046685215,1.34090809081455,1.28122466030103,1.38007126864076,1.15933250376915
ABHD11,1.62777926062314,1.37567500038312,1.27358750350793,1.37106276101096,1.53624071246258,1.62793975620939
ABHD12,1.73325240965246,1.59632392546625,1.14953971637403,1.60494951055448,1.55729583623947,1.64770018152662
ABHD12B,2.70222488200568,1.56412881702429,4.57803832344322,3.95105110772084,2.87878879493024,1.97727582960393
ABHD13,1.22749958824614,1.23044297295149,0.990064214247459,1.44092285758386,1.30347374811789,1.39262804601709
ABHD14A,2.10926334329019,2.10661014187144,2.09323925804515,2.56468317263224,1.59632392546625,1.89395202169295
ABHD14A-ACY1,0.702046016073984,0.561570276111106,0.807539965034299,0.497510487070029,0.653374557490847,NA
ABHD14B,NA,0.484219295509044,0.561792309735786,0.568782451798707,NA,NA
